Method,Anatomical site,N images,N patients,N effective pairs,"ICC(1,1)","95% CI ICC(1,1)","ICC(2,1) absolute agreement","95% CI ICC(2,1)","ICC(3,1) consistency","95% CI ICC(3,1)",Delta ICC3-ICC2,Bias ITA,MAE ITA,RMSE ITA,SD differences,Lower LoA,Upper LoA
avit,abdomen,103,44,103,0.5260814618,"[0.3546587089, 0.6592997428]",0.5362669986,"[0.3692911667, 0.6686376380]",0.5603534181,"[0.3825044501, 0.7217050378]",0.0240864195,18.9952940398,48.8646460207,59.6226495236,56.7921935637,-92.3174053451,130.3079934247
avit,dorsal forearm,107,42,107,0.4008057517,"[0.2353297130, 0.5812877300]",0.3992157629,"[0.2350256085, 0.5828779318]",0.3971082736,"[0.2352310669, 0.5853562525]",-0.0021074892,1.5917756730,50.7997465734,65.2702638448,65.5579158041,-126.9017393031,130.0852906491
avit,head/neck,116,43,116,0.2398238814,"[0.0556017397, 0.4036761618]",0.2517034163,"[0.0910181854, 0.4080407155]",0.2598241395,"[0.0976288289, 0.4186295424]",0.0081207232,-17.5702420447,59.7778814512,78.5541986567,76.8961836361,-168.2867619714,133.1462778820
avit,lateral torso,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avit,lower back,85,39,85,0.6679632502,"[0.5181239011, 0.7548874247]",0.6802780687,"[0.5559613696, 0.7599758969]",0.7347823440,"[0.6364606156, 0.8059813402]",0.0545042753,23.3072352661,41.8548761733,47.4728163134,41.6029261796,-58.2345000459,104.8489705781
avit,lower leg,235,45,235,0.3737400494,"[0.2059944198, 0.5214997073]",0.3729025701,"[0.2093269068, 0.5218502156]",0.3719078867,"[0.2119270742, 0.5255001629]",-0.0009946833,-0.2310318874,63.3631300084,79.1820017211,79.3506758919,-155.7583566356,155.2962928608
avit,palms/soles,138,40,138,0.0163579036,"[-0.1096844431, 0.1104829588]",0.0594193448,"[-0.0148658517, 0.1293004571]",0.0651210225,"[-0.0171534639, 0.1371562785]",0.0057016777,-34.3740000763,97.9543526246,108.8864542322,103.6947706730,-237.6157505954,168.8677504428
avit,upper arm,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avit,upper back,84,40,84,0.4907439167,"[0.3238490212, 0.6399022907]",0.4896217302,"[0.3259006148, 0.6403161864]",0.4874733574,"[0.3262956015, 0.6398077239]",-0.0021483729,-3.2789454425,45.1735664611,56.4624562585,56.7057113012,-114.4221395929,107.8642487079
avit,upper chest,122,46,122,0.4452813447,"[0.2980481812, 0.5507370708]",0.4440717895,"[0.3018150723, 0.5523043674]",0.4421436152,"[0.3044813198, 0.5577468824]",-0.0019281743,1.1223328637,45.8634101160,54.9912534609,55.2065210388,-107.0824483723,109.3271140997
avit,upper leg,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avit,ventral forearm,178,42,178,0.2574997739,"[0.1161578426, 0.4030865012]",0.2605477110,"[0.1309201028, 0.4038143503]",0.2627044962,"[0.1354170332, 0.4048421160]",0.0021567853,-10.7269911682,65.4306653308,83.1117323960,82.6490615905,-172.7191518856,151.2651695491
delightsam-dermoscopy,abdomen,52,29,52,0.5493797987,"[0.3315944244, 0.7049336852]",0.5543499789,"[0.3340423964, 0.7133379000]",0.5668543824,"[0.3339597788, 0.7841293588]",0.0125044035,14.1618661384,43.8826183532,54.3971494787,53.0337579842,-89.7842995106,118.1080317874
